Multiplier,Total bets,Timestamp
3.27,1612552,1722686292569
25.46,1612556,1722686339695
2.08,1612563,1722686362113
4.6,1612567,1722686390640
20.9,1612572,1722686434618
2.09,1612579,1722686457070
4.32,1612582,1722686484660
1.12,1612587,1722686502647
1,1612591,1722686518726
1.07,1612595,1722686536186
3.19,1612597,1722686561583
8.91,1612601,1722686595350
4.95,1612608,1722686623810
8.45,1612612,1722686656935
7.41,1612616,1722686689052
1.17,1612622,1722686707531
1.17,1612626,1722686726007
1.66,1612629,1722686746875
2.38,1612632,1722686770263
32.5,1612636,1722686821625
8.69,1612641,1722686855293
6.61,1612646,1722686886378
1.64,1612651,1722686907341
5.09,1612654,1722686936098
1.03,1612660,1722686952975
1.1,1612664,1722686970860
1.69,1612668,1722686992145
7.98,1612678,1722687061455
3.56,1612681,1722687087510
22.85,1612729,1722687399322
33,1612736,1722687450944
1.07,1612744,1722687468552
1.1,1612747,1722687486420
1.67,1612750,1722687507340
2.84,1612754,1722687531853
1.15,1612759,1722687550171
2.33,1612763,1722687573614
19.75,1612767,1722687617047
2.19,1612773,1722687640114
1,1612777,1722687656399
3.17,1612780,1722687681631
1.12,1612784,1722687699652
1.06,1612788,1722687717147
1.32,1612791,1722687736840
1.77,1612794,1722687758474
1.07,1612798,1722687776207
1.37,1612802,1722687795957
5.33,1612805,1722687825598
1.58,1612810,1722687846290
1.94,1612814,1722687868352
3.5,1612816,1722687894181
1.17,1612822,1722687912832
4.32,1612824,1722687940218
2,1612828,1722687962313
1.88,1612831,1722687984098
23.65,1668081,1723020631990
2.7,1668089,1723020656078
1.68,1668094,1723020677137
4.65,1668098,1723020704644
1.45,1668102,1723020724452
1.27,1668106,1723020743354
1.18,1668110,1723020761861
1.68,1668113,1723020782675
1.33,1668116,1723020802067
1.07,1668120,1723020819594
1.72,1668123,1723020840565
11.99,1668126,1723020877279
3.58,1668132,1723020902959
2.01,1668136,1723020924909
1.45,1668139,1723020944920
28.59,1668142,1723020993896
3.23,1668148,1723021019050
4.35,1668151,1723021046221
20.95,1668156,1723021090037
2.02,1668163,1723021112038
4.76,1668165,1723021140107
3.07,1668169,1723021164754
1.02,1668174,1723021181394
1.75,1668177,1723021202699
1.21,1668182,1723021221176
7.65,1668185,1723021253125
1.3,1668189,1723021272336
2.97,1668190,1723021296840
1.49,1668195,1723021316864
1.02,1668198,1723021333602
2.08,1668201,1723021355838
1.21,1668205,1723021374455
2.53,1668209,1723021398122
7.83,1668213,1723021430252
1.13,1668218,1723021448160
1.36,1668222,1723021467784
1.54,1668225,1723021488229
1.07,1668229,1723021505720
21.21,1668232,1723021549718
1.28,1668240,1723021568634
3.1,1668244,1723021593605
2.46,1668248,1723021616854
4.93,1668253,1723021645221
1.75,1668256,1723021666278
1,1668260,1723021682104
1.34,1668264,1723021701380
5.01,1668267,1723021729701
3.41,1668271,1723021755160
3.21,1668276,1723021780404
4.27,1668281,1723021807674
4.31,1668286,1723021834806
3.4,1668289,1723021860217
5.08,1668293,1723021888786
1.09,1668299,1723021906554
2.79,1668302,1723021930888
3.02,1668306,1723021955407
1.54,1668310,1723021976007
2.11,1668314,1723021998592
3.17,1668318,1723022023726
5.86,1668321,1723022053348
22.13,1668325,1723022098125
1.12,1668331,1723022115992
2.09,1668335,1723022138515
27.94,1668338,1723022187091
11.25,1668345,1723022223014
2.16,1668351,1723022245688
